"ensembl_gene_id","logFC_PFC_F_FENT","logFC_PFC_FENT","logFC_PFC_M_FENT","Motif","name","P.Value_PFC_F_FENT","P.Value_PFC_FENT","P.Value_PFC_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000026840","0.303224411410235","0.454930522845912","0.606636634281588","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Lamc3","0.412126344346305","0.0611009233229462","0.0505693520057876","Regulated","false","Lamc3"
"ENSMUSG00000019970","0.672536228325416","0.6533073082215","0.634078388117584","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460","Sgk1","0.0479163063929114","0.00369502011939331","0.0249930768004655","Regulated","false","Sgk1"
"ENSMUSG00000033149","0.353382495660948","0.551191524265031","0.749000552869114","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460|yetfasco-2168","Phldb2","0.342864893220992","0.0251316196326802","0.0173594623496389","Regulated","false","Phldb2"
"ENSMUSG00000028977","0.568577494727077","0.321954904000484","0.0753323132738899","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00497|transfac_public-M00460|yetfasco-2168","Casz1","0.0604434343635349","0.100287372061016","0.760504112379496","Regulated","false","Casz1"
"ENSMUSG00000036594","1.4044371213187","1.30463069660016","1.20482427188162","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","H2-Aa","0.0322716673814955","0.00265100693398375","0.0267602475662227","Regulated","false","H2-Aa"
"ENSMUSG00000001506","0.647627575639359","0.57403280114722","0.500438026655081","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00497|transfac_public-M00460|yetfasco-2168","Col1a1","0.192874221050986","0.07720922394644","0.223909362562443","Regulated","false","Col1a1"
"ENSMUSG00000025969","0.237948586554168","0.15762730699709","0.0773060274400112","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00497|transfac_public-M00460|yetfasco-2168","Nrp2","0.0918643173880992","0.0855677751410982","0.504070568680373","Regulated","false","Nrp2"
"ENSMUSG00000030111","0.0947874652034644","0.431271197256262","0.767754929309059","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","A2m","0.803654483805398","0.0852170871449212","0.0175608376119436","Regulated","false","A2m"
"ENSMUSG00000048450","0.22074621548349","0.514390164519132","0.808034113554775","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00497|transfac_public-M00460|yetfasco-2168","Msx1","0.658067751631657","0.115632234094672","0.0539334845106603","Regulated","false","Msx1"
"ENSMUSG00000025921","0.226372535519194","0.194505863626637","0.16263919173408","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Rdh10","0.19510558327519","0.0880287324322428","0.260136234309899","Regulated","false","Rdh10"
"ENSMUSG00000030509","0.211365437074062","0.167856463917533","0.124347490761004","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Asb7","0.0475208526999344","0.0161738084405375","0.155794037380286","Regulated","false","Asb7"
"ENSMUSG00000029661","0.55913536252749","0.583418350390944","0.607701338254397","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460","Col1a2","0.265374354258919","0.075783509328477","0.145285874915809","Regulated","false","Col1a2"
"ENSMUSG00000022150","-0.14612142594681","0.0513518812867559","0.248825188520322","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00497|transfac_public-M00460|yetfasco-2168","Dab2","0.57929170517083","0.76386263453211","0.256215757745513","Regulated","false","Dab2"
"ENSMUSG00000032010","0.312902099946267","0.279261620154781","0.245621140363295","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460","Usp2","0.112814728825106","0.0307685597256664","0.132392282198285","Regulated","false","Usp2"
"ENSMUSG00000031803","0.675119599908383","0.592580819706725","0.510042039505067","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","B3gnt3","0.167976292270887","0.0640153246879863","0.20783258874417","Regulated","false","B3gnt3"
"ENSMUSG00000028763","0.720896689729858","0.635965861360604","0.55103503299135","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Hspg2","0.0586558150481775","0.0111470848974396","0.0802652397932496","Regulated","false","Hspg2"
"ENSMUSG00000006014","0.841049547412618","2.05734381590383","3.27363808439504","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Prg4","0.466628235157446","0.00765239717262203","0.0010557070243963","Regulated","false","Prg4"
"ENSMUSG00000028909","0.209322582879333","0.180098425702864","0.150874268526396","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460","Ptpru","0.233165450353305","0.115697954654657","0.298686785350178","Regulated","false","Ptpru"
"ENSMUSG00000026678","0.127512290703667","0.299614194680801","0.471716098657936","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Rgs5","0.569817208003694","0.0429412137650659","0.0132572784042111","Regulated","false","Rgs5"
"ENSMUSG00000023067","0.487381952401684","0.560384069463662","0.63338618652564","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460","Cdkn1a","0.285033586768745","0.0608618905324007","0.0956762128444124","Regulated","false","Cdkn1a"
"ENSMUSG00000028599","0.236893045801619","0.222687602158464","0.208482158515309","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Tnfrsf1b","0.386122535738933","0.211059110043149","0.357203505333437","Regulated","false","Tnfrsf1b"
