"ensembl_gene_id","logFC_AMY_F_FENT","logFC_AMY_FENT","logFC_AMY_M_FENT","Motif","name","P.Value_AMY_F_FENT","P.Value_AMY_FENT","P.Value_AMY_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000028161","-0.062344247","-0.06961579","-0.076887334","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Ppp3ca","0.516817782","0.307249449","0.424440177","Regulated","false","Ppp3ca"
"ENSMUSG00000046589","0.060712488","0.121737264","0.182762039","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Lrrc8e","0.868762008","0.639665576","0.619237181","Regulated","false","Lrrc8e"
"ENSMUSG00000039457","-0.556039167","-0.797841534","-1.0396439","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Ppl","0.127924766","0.002685267","0.005418401","Regulated","false","Ppl"
"ENSMUSG00000034486","-1.443102461","-1.268104583","-1.093106705","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Gbx2","0.095737653","0.039649672","0.204751602","Regulated","false","Gbx2"
"ENSMUSG00000030046","-0.413452673","-0.394517767","-0.375582861","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Bmp10","0.289980765","0.154890236","0.336032633","Regulated","false","Bmp10"
"ENSMUSG00000031562","-0.204815814","-0.164932709","-0.125049604","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Dctd","0.313939411","0.252067398","0.537586145","Regulated","false","Dctd"
"ENSMUSG00000050328","0.048282903","-0.224551595","-0.497386092","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Hoxc12","0.837847164","0.181518087","0.038408178","Regulated","false","Hoxc12"
"ENSMUSG00000069372","-1.17681699","-1.130636617","-1.084456245","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Ctxn3","0.022483186","0.002313429","0.03487357","Regulated","false","Ctxn3"
"ENSMUSG00000037656","-0.148409435","-0.199642131","-0.250874828","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Slc20a2","0.143111867","0.006459373","0.014869573","Regulated","false","Slc20a2"
"ENSMUSG00000039239","-0.267998184","-0.324555957","-0.38111373","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Tgfb2","0.211741895","0.034646787","0.077701331","Regulated","false","Tgfb2"
"ENSMUSG00000001494","0.468761989","-0.113769799","-0.696301587","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Sost","0.183088175","0.645529567","0.049975722","Regulated","false","Sost"
"ENSMUSG00000024242","0.009248285","-0.07186871","-0.152985705","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Map4k3","0.906400127","0.199390859","0.055483845","Regulated","false","Map4k3"
"ENSMUSG00000045871","-0.789331665","-0.876179878","-0.963028091","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Slitrk6","0.035037217","0.001259316","0.010796748","Regulated","false","Slitrk6"
"ENSMUSG00000025081","-0.058051679","-0.315141334","-0.572230989","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Tdrd1","0.846138234","0.139866001","0.059503969","Regulated","false","Tdrd1"
"ENSMUSG00000042254","-0.736132278","-0.43077583","-0.125419382","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Cilp","0.023073572","0.058333322","0.692494742","Regulated","false","Cilp"
"ENSMUSG00000063239","-0.262894216","-0.53632993","-0.809765643","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Grm4","0.210630336","5.52177E-4","2.48679E-4","Regulated","false","Grm4"
"ENSMUSG00000048450","-0.283671567","-0.304207434","-0.324743301","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Msx1","0.539318591","0.352870215","0.482446288","Regulated","false","Msx1"
"ENSMUSG00000023079","-0.104556208","-0.199003568","-0.293450927","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Gtf2ird1","0.343049038","0.012602807","0.009442781","Regulated","false","Gtf2ird1"
"ENSMUSG00000026960","-0.102343143","-0.274040464","-0.445737785","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Arl6ip6","0.597839888","0.049148868","0.024379107","Regulated","false","Arl6ip6"
"ENSMUSG00000033196","-0.698968296","-0.951727097","-1.204485898","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Myh2","0.258696969","0.032003665","0.05406842","Regulated","false","Myh2"
