"ensembl_gene_id","logFC_AMY_F_FENT","logFC_AMY_FENT","logFC_AMY_M_FENT","Motif","name","P.Value_AMY_F_FENT","P.Value_AMY_FENT","P.Value_AMY_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000034066","-0.007108532","0.049981403","0.107071339","yetfasco-655","Farp2","0.958005881","0.600979482","0.428921162","Regulated","false","Farp2"
"ENSMUSG00000032621","0.019425609","0.042368912","0.065312215","yetfasco-655","Srek1","0.847368271","0.553240385","0.518213493","Regulated","false","Srek1"
"ENSMUSG00000036356","-0.009062622","0.023409597","0.055881816","yetfasco-655","Csgalnact1","0.956355251","0.841564858","0.735887447","Regulated","false","Csgalnact1"
"ENSMUSG00000041264","-0.028496519","-0.069338881","-0.110181243","yetfasco-655","Uspl1","0.781326127","0.341157872","0.285306231","Regulated","false","Uspl1"
"ENSMUSG00000037685","0.010346322","0.122552136","0.234757951","yetfasco-655","Atp8a1","0.936004758","0.181900832","0.072323797","Regulated","false","Atp8a1"
"ENSMUSG00000029405","-0.142341326","0.022708938","0.187759202","yetfasco-655","G3bp2","0.21412615","0.777918305","0.10290537","Regulated","false","G3bp2"
"ENSMUSG00000029094","-0.060111975","-0.180158624","-0.300205273","yetfasco-655","Afap1","0.857947207","0.449109066","0.372925476","Regulated","false","Afap1"
"ENSMUSG00000036533","0.0964411","-0.170417747","-0.437276594","yetfasco-655","Cdc42ep3","0.627697307","0.227931135","0.03093279","Regulated","false","Cdc42ep3"
"ENSMUSG00000050890","-0.095786701","-0.150211004","-0.204635308","yetfasco-655","Pdik1l","0.430821571","0.083701162","0.095389058","Regulated","false","Pdik1l"
"ENSMUSG00000036992","0.174863183","-0.060185645","-0.295234473","yetfasco-655","Nxt1","0.363645368","0.657501514","0.127491434","Regulated","false","Nxt1"
"ENSMUSG00000032245","-0.158011718","-0.232736741","-0.307461764","yetfasco-655","Cln6","0.469529128","0.134754968","0.16188094","Regulated","false","Cln6"
"ENSMUSG00000024169","-0.045201858","0.082074335","0.209350528","yetfasco-655","Ift140","0.765855706","0.445400975","0.171044685","Regulated","false","Ift140"
"ENSMUSG00000058669","0.708035319","0.842409607","0.976783894","yetfasco-655","Nkx2-9","0.198429778","0.032582642","0.07786173","Regulated","false","Nkx2-9"
"ENSMUSG00000031987","-0.043018922","-0.023173753","-0.003328584","yetfasco-655","Egln1","0.698656008","0.767989705","0.976088251","Regulated","false","Egln1"
"ENSMUSG00000052751","-0.073349833","-0.129621338","-0.185892843","yetfasco-655","Repin1","0.449312348","0.061834499","0.058358552","Regulated","false","Repin1"
"ENSMUSG00000026220","0.193416987","0.195899926","0.198382864","yetfasco-655","Slc16a14","0.338666848","0.172254866","0.326508062","Regulated","false","Slc16a14"
"ENSMUSG00000032382","-0.021765149","0.091771327","0.205307803","yetfasco-655","Snx1","0.773661338","0.090132895","0.008425096","Regulated","false","Snx1"
"ENSMUSG00000020580","-0.110799259","-0.034940164","0.040918931","yetfasco-655","Rock2","0.172642658","0.540514804","0.612098951","Regulated","false","Rock2"
"ENSMUSG00000037010","-0.208317124","0.017287489","0.242892101","yetfasco-655","Apln","0.360453949","0.914232566","0.286904031","Regulated","false","Apln"
"ENSMUSG00000002881","0.057253734","-0.080760829","-0.218775392","yetfasco-655","Nab1","0.802620187","0.618316107","0.341236988","Regulated","false","Nab1"
"ENSMUSG00000037306","-0.038493245","-0.034773424","-0.031053604","yetfasco-655","Man1c1","0.691335449","0.612134047","0.748679693","Regulated","false","Man1c1"
